id|supplier_id|car_id
2|4|2
3|7|26
4|2|19
5|2|7
6|6|17
9|7|29
10|3|12
11|5|23
12|4|9
13|5|24
16|2|8
17|4|29
18|4|26
23|9|3
24|4|10
25|3|21
26|3|9
27|8|21
30|3|5
31|3|13
32|8|8
33|5|6
37|2|11
38|4|24
39|5|13
40|5|30
41|6|30
44|9|5
45|9|8
46|6|27
47|2|10
48|8|10
51|6|14
52|7|21
53|6|1
55|2|26
58|4|17
59|10|4
60|9|8
61|7|18
62|2|16
65|8|17
66|10|5
67|5|15
68|10|26
69|3|18
72|4|22
73|10|15
74|6|28
75|2|3
76|9|9
80|7|27
82|9|12
83|3|30
89|7|2
90|5|19
93|10|6
94|2|21
95|7|24
96|8|20
97|10|26
103|6|48
133|11|4
134|11|8
135|11|9
136|11|13
137|11|14
138|4|50
139|11|50
140|12|20
141|12|49
142|1|6
143|1|9
144|1|10
145|1|18
146|1|19
147|1|23
148|1|24
149|1|25
150|1|26
